,Age,Min,Gls,Ast,Gls+Ast,Tackle,Press,Blocks,Passes Completed,Passes Attempted,Market value
0,20.0,3856.0,51.0,12.0,63.0,11.0,418.0,14.0,1152.0,1494.0,180
1,24.0,4968.0,29.0,10.0,39.0,62.0,849.0,58.0,1963.0,2414.0,128
2,27.0,2757.0,28.0,13.0,41.0,31.0,381.0,24.0,1588.0,2016.0,128
3,27.0,5327.0,37.0,8.0,45.0,90.0,1151.0,64.0,1728.0,2214.0,120
4,27.0,5579.0,39.0,15.0,54.0,34.0,1103.0,31.0,1516.0,2029.0,120
5,26.0,4382.0,29.0,6.0,35.0,25.0,743.0,38.0,744.0,1060.0,120
6,28.0,3311.0,12.0,19.0,31.0,55.0,770.0,39.0,2084.0,2772.0,120
7,19.0,4748.0,29.0,30.0,59.0,33.0,959.0,50.0,2509.0,3053.0,117
8,32.0,5143.0,58.0,30.0,88.0,27.0,571.0,20.0,2907.0,3678.0,112
9,20.0,5174.0,4.0,24.0,28.0,109.0,746.0,85.0,3687.0,5072.0,99
10,28.0,5561.0,23.0,12.0,35.0,73.0,1160.0,48.0,1976.0,2554.0,96
11,19.0,1657.0,6.0,1.0,7.0,9.0,207.0,11.0,401.0,519.0,81
12,20.0,5348.0,29.0,9.0,38.0,57.0,814.0,66.0,2784.0,3230.0,81
13,24.0,4521.0,12.0,14.0,26.0,90.0,1229.0,87.0,2596.0,3049.0,80
14,28.0,4747.0,7.0,4.0,11.0,137.0,1336.0,115.0,2778.0,3195.0,80
16,28.0,6174.0,8.0,3.0,11.0,63.0,286.0,70.0,5145.0,5686.0,80
17,26.0,3698.0,13.0,12.0,25.0,65.0,773.0,49.0,2307.0,2804.0,80
19,28.0,3930.0,17.0,18.0,35.0,15.0,522.0,23.0,2080.0,2569.0,80
20,24.0,5878.0,6.0,20.0,26.0,111.0,914.0,118.0,5024.0,5872.0,75
22,22.0,2071.0,2.0,2.0,4.0,30.0,308.0,24.0,1470.0,1590.0,72
23,25.0,3894.0,15.0,9.0,24.0,35.0,786.0,53.0,2194.0,2618.0,72
24,24.0,3955.0,22.0,15.0,37.0,81.0,869.0,51.0,1572.0,1967.0,72
25,24.0,5708.0,10.0,1.0,11.0,173.0,1322.0,190.0,2519.0,3227.0,72
26,27.0,5154.0,20.0,13.0,33.0,64.0,1372.0,84.0,1880.0,2338.0,72
29,26.0,4567.0,31.0,2.0,33.0,21.0,567.0,28.0,836.0,1217.0,68
30,27.0,3871.0,10.0,14.0,24.0,60.0,933.0,63.0,2089.0,2728.0,68
33,27.0,5028.0,4.0,4.0,8.0,57.0,456.0,88.0,4018.0,4615.0,65
34,21.0,3273.0,18.0,4.0,22.0,17.0,699.0,49.0,423.0,649.0,64
35,23.0,4857.0,6.0,2.0,8.0,166.0,1140.0,74.0,3823.0,4147.0,64
37,21.0,4455.0,24.0,12.0,36.0,30.0,757.0,38.0,1122.0,1500.0,64
38,25.0,5743.0,1.0,19.0,20.0,132.0,835.0,106.0,4263.0,5240.0,64
39,23.0,3641.0,13.0,7.0,20.0,72.0,945.0,88.0,1461.0,1848.0,64
40,23.0,5304.0,44.0,15.0,59.0,31.0,791.0,43.0,1374.0,1909.0,64
41,26.0,5274.0,5.0,1.0,6.0,65.0,389.0,84.0,2817.0,3160.0,64
43,27.0,4891.0,7.0,2.0,9.0,186.0,1041.0,143.0,3019.0,3526.0,64
44,18.0,2314.0,4.0,5.0,9.0,80.0,443.0,57.0,1616.0,1870.0,60
47,26.0,3534.0,23.0,6.0,29.0,16.0,585.0,17.0,469.0,628.0,60
48,34.0,4885.0,45.0,12.0,57.0,21.0,492.0,24.0,1790.0,2157.0,60
